time,conjugations
0.00,0
0.10,1
0.20,1
0.30,2
0.40,0
0.50,2
0.60,0
0.70,0
0.80,0
0.90,2
1.00,2
1.10,0
1.20,1
1.30,0
1.40,0
1.50,0
1.60,1
1.70,2
1.80,0
1.90,0
2.00,1
2.10,1
2.20,0
2.30,0
2.40,0
2.50,2
2.60,2
2.70,1
2.80,3
2.90,1
3.00,2
3.10,2
3.20,6
3.30,2
3.40,1
3.50,4
3.60,4
3.70,2
3.80,3
3.90,0
4.00,1
4.10,2
4.20,1
4.30,1
4.40,3
4.50,0
4.60,1
4.70,6
4.80,1
4.90,4
5.00,1
5.10,4
5.20,3
5.30,3
5.40,1
5.50,2
5.60,2
5.70,1
5.80,3
5.90,5
6.00,1
6.10,2
6.20,4
6.30,4
6.40,2
6.50,4
6.60,0
6.70,0
6.80,2
6.90,2
7.00,2
7.10,1
7.20,2
7.30,1
7.40,1
7.50,2
7.60,3
7.70,3
7.80,4
7.90,3
8.00,2
8.10,4
8.20,2
8.30,4
8.40,3
8.50,0
8.60,1
8.70,4
8.80,5
8.90,8
9.00,4
9.10,7
9.20,1
9.30,4
9.40,1
9.50,3
9.60,6
9.70,3
9.80,1
9.90,3
10.00,6
10.10,4
10.20,1
10.30,10
10.40,4
10.50,2
10.60,2
10.70,3
10.80,2
10.90,3
11.00,3
11.10,5
11.20,8
11.30,4
11.40,8
11.50,8
11.60,3
11.70,4
11.80,5
11.90,3
12.00,6
12.10,6
12.20,6
12.30,4
12.40,3
12.50,4
12.60,4
12.70,9
12.80,11
12.90,4
13.00,7
13.10,2
13.20,9
13.30,2
13.40,4
13.50,5
13.60,9
13.70,6
13.80,4
13.90,6
14.00,10
14.10,6
14.20,12
14.30,8
14.40,12
14.50,6
14.60,9
14.70,12
14.80,5
14.90,12
15.00,10
15.10,6
15.20,9
15.30,9
15.40,12
15.50,4
15.60,7
15.70,8
15.80,3
15.90,11
16.00,7
16.10,8
16.20,8
16.30,10
16.40,8
16.50,9
16.60,8
16.70,6
16.80,8
16.90,6
17.00,2
17.10,6
17.20,10
17.30,8
17.40,6
17.50,5
17.60,14
17.70,8
17.80,8
17.90,10
18.00,13
18.10,11
18.20,8
18.30,15
18.40,11
18.50,14
18.60,13
18.70,8
18.80,12
18.90,12
19.00,14
19.10,11
19.20,15
19.30,15
19.40,12
19.50,15
19.60,15
19.70,11
19.80,13
19.90,9
20.00,14
20.10,12
20.20,14
20.30,12
20.40,13
20.50,13
20.60,16
20.70,9
20.80,9
20.90,13
21.00,12
21.10,14
21.20,18
21.30,15
21.40,13
21.50,18
21.60,14
21.70,16
21.80,15
21.90,11
22.00,11
22.10,15
22.20,21
22.30,21
22.40,22
22.50,12
22.60,19
22.70,19
22.80,13
22.90,30
23.00,29
23.10,26
23.20,18
23.30,16
23.40,17
23.50,21
23.60,20
23.70,24
23.80,14
23.90,18
24.00,21
24.10,14
24.20,17
24.30,22
24.40,14
24.50,17
24.60,18
24.70,17
24.80,19
24.90,18
25.00,23
25.10,17
25.20,25
25.30,19
25.40,20
25.50,21
25.60,20
25.70,28
25.80,33
25.90,29
26.00,20
26.10,35
26.20,32
26.30,30
26.40,34
26.50,27
26.60,37
26.70,27
26.80,26
26.90,35
27.00,29
27.10,25
27.20,30
27.30,22
27.40,27
27.50,33
27.60,29
27.70,37
27.80,24
27.90,40
28.00,34
28.10,20
28.20,28
28.30,24
28.40,38
28.50,35
28.60,38
28.70,39
28.80,33
28.90,20
29.00,30
29.10,19
29.20,28
29.30,36
29.40,30
29.50,33
29.60,27
29.70,29
29.80,32
29.90,30
30.00,46
30.10,47
30.20,34
30.30,27
30.40,38
30.50,47
30.60,50
30.70,35
30.80,37
30.90,48
31.00,41
31.10,43
31.20,44
31.30,52
31.40,40
31.50,48
31.60,36
31.70,41
31.80,59
31.90,55
32.00,53
32.10,46
32.20,47
32.30,54
32.40,42
32.50,52
32.60,54
32.70,43
32.80,42
32.90,69
33.00,40
33.10,45
33.20,58
33.30,63
33.40,64
33.50,56
33.60,48
33.70,59
33.80,48
33.90,55
34.00,42
34.10,40
34.20,51
34.30,47
34.40,49
34.50,60
34.60,42
34.70,49
34.80,69
34.90,76
35.00,38
35.10,58
35.20,51
35.30,65
35.40,47
35.50,46
35.60,42
35.70,46
35.80,59
35.90,62
36.00,49
36.10,56
36.20,51
36.30,69
36.40,61
36.50,74
36.60,58
36.70,61
36.80,63
36.90,61
37.00,52
37.10,72
37.20,62
37.30,68
37.40,54
37.50,60
37.60,49
37.70,66
37.80,53
37.90,53
38.00,53
38.10,66
38.20,55
38.30,47
38.40,52
38.50,69
38.60,45
38.70,44
38.80,58
38.90,48
39.00,55
39.10,42
39.20,52
39.30,64
39.40,59
39.50,55
39.60,66
39.70,53
39.80,62
39.90,57
40.00,54
40.10,53
40.20,49
40.30,48
40.40,71
40.50,67
40.60,57
40.70,57
40.80,67
40.90,56
41.00,56
41.10,44
41.20,57
41.30,43
41.40,58
41.50,56
41.60,61
41.70,55
41.80,58
41.90,56
42.00,57
42.10,49
42.20,55
42.30,61
42.40,56
42.50,64
42.60,54
42.70,71
42.80,61
42.90,77
43.00,61
43.10,55
43.20,57
43.30,70
43.40,46
43.50,50
43.60,55
43.70,47
43.80,58
43.90,40
44.00,55
44.10,55
44.20,47
44.30,60
44.40,44
44.50,61
44.60,47
44.70,59
44.80,66
44.90,57
45.00,63
45.10,63
45.20,60
45.30,69
45.40,77
45.50,76
45.60,67
45.70,73
45.80,55
45.90,71
46.00,63
46.10,62
46.20,75
46.30,65
46.40,56
46.50,70
46.60,58
46.70,62
46.80,68
46.90,57
47.00,56
47.10,52
47.20,56
47.30,61
47.40,46
47.50,59
47.60,55
47.70,71
47.80,59
47.90,59
48.00,68
48.10,67
48.20,68
48.30,74
48.40,71
48.50,79
48.60,53
48.70,65
48.80,72
48.90,57
49.00,64
49.10,65
49.20,56
49.30,66
49.40,57
49.50,49
49.60,54
49.70,62
49.80,76
49.90,58
50.00,52
50.10,71
50.20,62
50.30,76
50.40,75
50.50,65
50.60,78
50.70,62
50.80,60
50.90,76
51.00,79
51.10,72
51.20,61
51.30,62
51.40,63
51.50,75
51.60,56
51.70,54
51.80,47
51.90,56
52.00,73
52.10,58
52.20,52
52.30,49
52.40,63
52.50,58
52.60,62
52.70,43
52.80,47
52.90,58
53.00,45
53.10,52
53.20,51
53.30,66
53.40,71
53.50,60
53.60,56
53.70,58
53.80,50
53.90,49
54.00,57
54.10,62
54.20,75
54.30,67
54.40,63
54.50,58
54.60,46
54.70,44
54.80,68
54.90,51
55.00,55
55.10,48
55.20,51
55.30,67
55.40,62
55.50,59
55.60,48
55.70,45
55.80,44
55.90,42
56.00,56
56.10,55
56.20,62
56.30,45
56.40,46
56.50,44
56.60,49
56.70,41
56.80,43
56.90,36
57.00,54
57.10,51
57.20,41
57.30,57
57.40,42
57.50,37
57.60,49
57.70,60
57.80,50
57.90,49
58.00,45
58.10,40
58.20,50
58.30,51
58.40,50
58.50,55
58.60,52
58.70,44
58.80,49
58.90,46
59.00,60
59.10,50
59.20,52
59.30,54
59.40,44
59.50,48
59.60,55
59.70,65
59.80,48
59.90,44
60.00,64
60.10,50
60.20,62
60.30,60
60.40,50
60.50,49
60.60,48
60.70,70
60.80,54
60.90,64
61.00,56
61.10,56
61.20,60
61.30,76
61.40,50
61.50,57
61.60,57
61.70,48
61.80,51
61.90,59
62.00,58
62.10,43
62.20,63
62.30,59
62.40,48
62.50,53
62.60,59
62.70,43
62.80,52
62.90,53
63.00,42
63.10,41
63.20,54
63.30,45
63.40,56
63.50,54
63.60,61
63.70,64
63.80,51
63.90,57
64.00,68
64.10,68
64.20,62
64.30,53
64.40,62
64.50,70
64.60,61
64.70,63
64.80,61
64.90,51
65.00,57
65.10,56
65.20,60
65.30,56
65.40,48
65.50,46
65.60,63
65.70,55
65.80,53
65.90,60
66.00,62
66.10,60
66.20,53
66.30,48
66.40,53
66.50,52
66.60,64
66.70,65
66.80,61
66.90,34
67.00,67
67.10,49
67.20,65
67.30,49
67.40,65
67.50,43
67.60,39
67.70,60
67.80,41
67.90,63
68.00,53
68.10,54
68.20,60
68.30,56
68.40,38
68.50,48
68.60,58
68.70,41
68.80,47
68.90,51
69.00,59
69.10,51
69.20,48
69.30,52
69.40,49
69.50,56
69.60,55
69.70,54
69.80,48
69.90,46
70.00,49
70.10,43
70.20,50
70.30,62
70.40,54
70.50,52
70.60,52
70.70,55
70.80,65
70.90,45
71.00,57
71.10,65
71.20,42
71.30,52
71.40,49
71.50,54
71.60,49
71.70,50
71.80,66
71.90,43
72.00,61
72.10,57
72.20,55
72.30,57
72.40,60
72.50,61
72.60,50
72.70,49
72.80,61
72.90,63
73.00,62
73.10,58
73.20,50
73.30,67
73.40,61
73.50,62
73.60,86
73.70,67
73.80,63
73.90,62
74.00,60
74.10,61
74.20,62
74.30,68
74.40,61
74.50,50
74.60,63
74.70,58
74.80,61
74.90,60
75.00,64
75.10,62
75.20,56
75.30,54
75.40,53
75.50,52
75.60,58
75.70,57
75.80,59
75.90,61
76.00,61
76.10,56
76.20,53
76.30,65
76.40,69
76.50,48
76.60,54
76.70,61
76.80,52
76.90,49
77.00,64
77.10,50
77.20,64
77.30,49
77.40,47
77.50,53
77.60,54
77.70,60
77.80,44
77.90,63
78.00,54
78.10,67
78.20,54
78.30,51
78.40,50
78.50,63
78.60,49
78.70,51
78.80,68
78.90,54
79.00,47
79.10,56
79.20,68
79.30,51
79.40,50
79.50,51
79.60,61
79.70,51
79.80,55
79.90,67
80.00,55
80.10,59
80.20,51
80.30,67
80.40,61
80.50,61
80.60,68
80.70,55
80.80,60
80.90,54
81.00,63
81.10,50
81.20,47
81.30,55
81.40,57
81.50,63
81.60,53
81.70,62
81.80,51
81.90,56
82.00,44
82.10,68
82.20,68
82.30,61
82.40,51
82.50,58
82.60,54
82.70,50
82.80,62
82.90,61
83.00,49
83.10,48
83.20,53
83.30,48
83.40,44
83.50,53
83.60,56
83.70,54
83.80,42
83.90,50
84.00,48
84.10,45
84.20,40
84.30,48
84.40,46
84.50,39
84.60,37
84.70,57
84.80,57
84.90,50
85.00,46
85.10,57
85.20,65
85.30,50
85.40,58
85.50,50
85.60,54
85.70,38
85.80,52
85.90,56
86.00,51
86.10,37
86.20,41
86.30,42
86.40,57
86.50,68
86.60,65
86.70,54
86.80,40
86.90,61
87.00,38
87.10,46
87.20,48
87.30,54
87.40,53
87.50,50
87.60,46
87.70,47
87.80,48
87.90,54
88.00,57
88.10,65
88.20,40
88.30,64
88.40,62
88.50,52
88.60,60
88.70,51
88.80,49
88.90,50
89.00,57
89.10,53
89.20,60
89.30,63
89.40,46
89.50,73
89.60,62
89.70,57
89.80,66
89.90,47
90.00,61
90.10,65
90.20,54
90.30,69
90.40,63
90.50,50
90.60,56
90.70,57
90.80,57
90.90,60
91.00,61
91.10,63
91.20,55
91.30,57
91.40,48
91.50,60
91.60,56
91.70,51
91.80,54
91.90,62
92.00,60
92.10,52
92.20,67
92.30,60
92.40,64
92.50,48
92.60,54
92.70,50
92.80,44
92.90,51
93.00,58
93.10,46
93.20,72
93.30,65
93.40,64
93.50,50
93.60,43
93.70,43
93.80,40
93.90,50
94.00,55
94.10,56
94.20,39
94.30,49
94.40,52
94.50,47
94.60,53
94.70,54
94.80,43
94.90,48
95.00,35
95.10,42
95.20,46
95.30,40
95.40,48
95.50,43
95.60,42
95.70,47
95.80,57
95.90,47
96.00,49
96.10,36
96.20,58
96.30,55
96.40,40
96.50,44
96.60,43
96.70,31
96.80,57
96.90,35
97.00,46
97.10,58
97.20,62
97.30,48
97.40,44
97.50,43
97.60,45
97.70,58
97.80,43
97.90,62
98.00,61
98.10,53
98.20,51
98.30,50
98.40,61
98.50,51
98.60,62
98.70,71
98.80,62
98.90,58
99.00,39
99.10,36
99.20,43
99.30,39
99.40,47
99.50,45
99.60,49
99.70,41
99.80,44
99.90,38
100.00,44
100.10,51
100.20,62
100.30,47
100.40,51
100.50,49
100.60,56
100.70,61
100.80,52
100.90,53
101.00,65
101.10,45
101.20,59
101.30,58
101.40,52
101.50,62
101.60,50
101.70,55
101.80,52
101.90,61
102.00,56
102.10,37
102.20,55
102.30,41
102.40,65
102.50,59
102.60,65
102.70,51
102.80,56
102.90,57
103.00,65
103.10,57
103.20,63
103.30,69
103.40,43
103.50,55
103.60,48
103.70,60
103.80,43
103.90,52
104.00,61
104.10,63
104.20,48
104.30,56
104.40,50
104.50,57
104.60,53
104.70,47
104.80,50
104.90,49
105.00,54
105.10,50
105.20,55
105.30,52
